DEPT,CRSE,GR,CARR,EARN,QPTS
CSC,1350,B,4.00,4.00,12.00
ENGL,1001,A,3.00,3.00,12.00
MATH,1550,B,5.00,5.00,15.00
THTR,1020,A,3.00,3.00,12.00
BIOL,1201,B,3.00,3.00,9.00
HIST,2057,A,3.00,3.00,12.00
MATH,1021,B,3.00,3.00,9.00
BIOL,1002,C+,3.00,3.00,6.90
CSC,1351,B-,4.00,4.00,10.80
ENGL,2025,C-,3.00,3.00,5.10
GEOL,1001,B-,3.00,3.00,8.10
MATH,1552,C,4.00,4.00,8.00
MATH,1022,A,,,
CMST,2063,A,3.00,3.00,12.00
CSC,2259,A,3.00,3.00,12.00
CSC,3102,B,3.00,3.00,9.00
GEOG,1001,P,3.00,,
ECON,2000,B+,3.00,3.00,9.90
GEOG,1003,P,3.00,,
MATH,2090,C+,4.00,4.00,9.20
ACCT,2001,IP,3.00,,
CSC,2262,IP,3.00,,
CSC,3380,IP,3.00,,
CSC,3501,IP,3.00,,
ENGL,2000,IP,3.00,,
